time,link_id,queue_bytes,utilization,tx_bytes_delta,ecn_marks_delta,pfc_paused,pfc_event_delta,pfc_pause_ns_delta
0.11393,84:1,524088,0.96,12000,0,0,0,0
0.11394,84:1,511088,1.04,13000,0,0,0,0
0.11395,84:1,499088,0.96,12000,0,0,0,0
0.11396,84:1,486088,1.04,13000,0,0,0,0
0.11397,84:1,474088,0.96,12000,0,0,0,0
0.11398,84:1,461088,1.04,13000,0,0,0,0
0.11399,84:1,450088,0.96,12000,0,0,0,0
0.114,84:1,437088,1.04,13000,0,0,0,0
0.11401,84:1,424088,1.04,13000,0,0,0,0
0.11402,84:1,412088,0.96,12000,0,0,0,0
0.11403,84:1,399912,0.97408,12176,0,0,0,0
0.11404,84:1,386560,1.06816,13352,0,0,0,0
0.11405,84:1,374600,0.9568,11960,0,0,0,0
0.11406,84:1,363208,0.99136,12392,0,0,0,0
0.11407,84:1,350032,1.05408,13176,0,0,0,0
0.11408,84:1,337464,1.00544,12568,0,0,0,0
0.11409,84:1,325464,0.96,12000,0,0,0,0
0.1141,84:1,313464,1.04,13000,0,0,0,0
0.11411,84:1,301464,0.96,12000,0,0,0,0
0.11412,84:1,288464,1.04,13000,0,0,0,0
0.11413,84:1,276464,0.96,12000,0,0,0,0
0.11414,84:1,263464,1.04,13000,0,0,0,0
0.11415,84:1,251464,0.96,12000,0,0,0,0
0.11416,84:1,238464,1.04,13000,0,0,0,0
0.11417,84:1,227464,0.96,12000,0,0,0,0
0.11418,84:1,215072,0.99136,12392,0,0,0,0
0.11419,84:1,202680,0.99136,12392,0,0,0,0
0.1142,84:1,189680,1.04,13000,0,0,0,0
0.11421,84:1,177680,0.96,12000,0,0,0,0
0.11422,84:1,164680,1.04,13000,0,0,0,0
0.11423,84:1,153680,0.96,12000,0,0,0,0
0.11424,84:1,140680,1.04,13000,0,0,0,0
0.11425,84:1,127680,1.04,13000,0,0,0,0
0.11426,84:1,115504,0.97408,12176,0,0,0,0
0.11427,84:1,102760,1.01952,12744,0,0,0,0
0.11428,84:1,91192,1.00544,12568,0,0,0,0
0.11429,84:1,79232,0.9568,11960,0,0,0,0
0.1143,84:1,66840,0.99136,12392,0,0,0,0
0.11431,84:1,55528,0.98496,12312,0,0,0,0
0.11432,84:1,42744,1.02272,12784,0,0,0,0
0.11433,84:1,32352,0.99136,12392,0,0,0,0
0.11434,84:1,21960,0.99136,12392,0,0,0,0
0.11435,84:1,12000,1.0368,12960,0,0,0,0
0.11436,84:1,9000,1.04,13000,0,0,0,0
0.11437,84:1,7000,0.96,12000,0,0,0,0
0.11438,84:1,4000,1.04,13000,0,0,0,0
0.11439,84:1,2000,0.96,12000,0,0,0,0
0.1144,84:1,0,0.96,12000,0,0,0,0
0.11441,84:1,0,0.8,10000,0,0,0,0
0.11442,84:1,0,0.8,10000,0,0,0,0
0.11443,84:1,0,0.8,10000,0,0,0,0
0.11444,84:1,0,0.8,10000,0,0,0,0
0.11445,84:1,0,0.8,10000,0,0,0,0
0.11446,84:1,0,0.8,10000,0,0,0,0
0.11447,84:1,0,0.8,10000,0,0,0,0
0.11448,84:1,0,0.8,10000,0,0,0,0
0.11449,84:1,0,0.8,10000,0,0,0,0
0.1145,84:1,0,0.8,10000,0,0,0,0
0.11451,84:1,0,0.8,10000,0,0,0,0
0.11452,84:1,0,0.8,10000,0,0,0,0
0.11453,84:1,0,0.8,10000,0,0,0,0
0.11454,84:1,0,0.8,10000,0,0,0,0
0.11455,84:1,0,0.8,10000,0,0,0,0
0.11456,84:1,0,0.8,10000,0,0,0,0
0.11457,84:1,0,0.8,10000,0,0,0,0
0.11458,84:1,0,0.8,10000,0,0,0,0
0.11459,84:1,0,0.8,10000,0,0,0,0
0.1146,84:1,0,0.8,10000,0,0,0,0
0.11461,84:1,0,0.8,10000,0,0,0,0
0.11462,84:1,0,0.8,10000,0,0,0,0
0.11463,84:1,0,0.8,10000,0,0,0,0
0.11464,84:1,0,0.8,10000,0,0,0,0
0.11465,84:1,0,0.8,10000,0,0,0,0
0.11466,84:1,0,0.88,11000,0,0,0,0
0.11467,84:1,0,0.8,10000,0,0,0,0
0.11468,84:1,0,0.8,10000,0,0,0,0
0.11469,84:1,0,0.8,10000,0,0,0,0
0.1147,84:1,0,0.8,10000,0,0,0,0
0.11471,84:1,0,0.8,10000,0,0,0,0
0.11472,84:1,0,0.8,10000,0,0,0,0
0.11473,84:1,0,0.8,10000,0,0,0,0
0.11474,84:1,0,0.8,10000,0,0,0,0
0.11475,84:1,0,0.8,10000,0,0,0,0
0.11476,84:1,0,0.8,10000,0,0,0,0
0.11477,84:1,0,0.8,10000,0,0,0,0
0.11478,84:1,0,0.8,10000,0,0,0,0
0.11479,84:1,0,0.8,10000,0,0,0,0
0.1148,84:1,0,0.8,10000,0,0,0,0
0.11481,84:1,0,0.8,10000,0,0,0,0
0.11482,84:1,0,0.8,10000,0,0,0,0
0.11483,84:1,0,0.8,10000,0,0,0,0
0.11484,84:1,0,0.8,10000,0,0,0,0
0.11485,84:1,0,0.8,10000,0,0,0,0
0.11486,84:1,0,0.8,10000,0,0,0,0
0.11487,84:1,0,0.8,10000,0,0,0,0
0.11488,84:1,0,0.8,10000,0,0,0,0
0.11489,84:1,0,0.8,10000,0,0,0,0
0.1149,84:1,0,0.8,10000,0,0,0,0
0.11491,84:1,0,0.8,10000,0,0,0,0
0.11492,84:1,0,0.8,10000,0,0,0,0
0.11493,84:1,0,0.8,10000,0,0,0,0
