# pg0 (INVALID: background on ECN-exempt queue 0) vs pg3 (corrected)
# ratio = pg0/pg3 for latency-like metrics; >1 means pg3 is better
scenario,algorithm,metric,pg0_invalid,pg3_corrected,ratio_or_delta
s4,hpcc,bg_min_gbps,0.092929,0.117172,0.0242
s4,hpcc,queue_peak_bytes,1291650.000000,1296010.000000,4360.0000
s4,hpcc,ecn_marks,274.000000,288.000000,14.0000
s4,cbapsba,fct_mean_ms,88.256029,87.899705,1.0041
s4,cbapsba,fct_p99_ms,88.275126,87.916943,1.0041
s4,cbapsba,cct_ms,188.275440,187.917257,1.0019
s4,cbapsba,incast_agg_gbps,6.081770,6.106548,0.0248
s4,cbapsba,bg_retention_pct,71.025784,70.078959,-0.9468
s4,cbapsba,bg_min_gbps,3.462626,3.200000,-0.2626
s4,cbapsba,queue_peak_bytes,331168.000000,58688.000000,-272480.0000
s4,cbapsba,ecn_marks,0.000000,0.000000,0.0000
s5,dcqcn,fct_mean_ms,1126.291216,222.506384,5.0618
s5,dcqcn,fct_p99_ms,1126.918274,229.734869,4.9053
s5,dcqcn,cct_ms,1226.919507,330.372164,3.7137
s5,dcqcn,incast_agg_gbps,1.905623,9.321802,7.4162
s5,dcqcn,bg_retention_pct,99.999939,31.920557,-68.0794
s5,dcqcn,bg_min_gbps,7.636364,0.092929,-7.5434
s5,dcqcn,queue_peak_bytes,1272272.000000,1279608.000000,7336.0000
s5,dcqcn,ecn_marks,38410.000000,28010.000000,-10400.0000
s5,dctcp,fct_mean_ms,1126.294961,227.739510,4.9455
s5,dctcp,fct_p99_ms,1126.918274,228.655658,4.9285
s5,dctcp,cct_ms,1226.919507,328.689095,3.7328
s5,dctcp,incast_agg_gbps,1.905623,9.390407,7.4848
s5,dctcp,bg_retention_pct,99.999939,31.842574,-68.1574
s5,dctcp,bg_min_gbps,7.636364,0.141414,-7.4949
s5,dctcp,queue_peak_bytes,1272272.000000,1276464.000000,4192.0000
s5,dctcp,ecn_marks,38410.000000,37927.000000,-483.0000
s5,timely,fct_mean_ms,1132.192284,229.816427,4.9265
s5,timely,fct_p99_ms,1132.819751,230.993995,4.9041
s5,timely,cct_ms,1232.820464,331.002136,3.7245
s5,timely,incast_agg_gbps,1.895696,9.296380,7.4007
s5,timely,bg_retention_pct,99.999870,31.734443,-68.2654
s5,timely,bg_min_gbps,7.579798,0.092929,-7.4869
s5,timely,queue_peak_bytes,1280928.000000,1278816.000000,-2112.0000
s5,timely,ecn_marks,38862.000000,1642.000000,-37220.0000
s5,hpcc,fct_mean_ms,239.450279,239.808650,0.9985
s5,hpcc,fct_p99_ms,240.543265,241.027093,0.9980
s5,hpcc,cct_ms,340.566411,341.123617,0.9984
s5,hpcc,incast_agg_gbps,8.926781,8.906152,-0.0206
s5,hpcc,bg_retention_pct,30.597231,30.709815,0.1126
s5,hpcc,bg_min_gbps,0.092929,0.117172,0.0242
s5,hpcc,queue_peak_bytes,1291650.000000,1296010.000000,4360.0000
s5,hpcc,ecn_marks,274.000000,288.000000,14.0000
s5,cbapsba,fct_mean_ms,350.544491,351.649015,0.9969
s5,cbapsba,fct_p99_ms,350.963262,351.659130,0.9980
s5,cbapsba,cct_ms,450.963439,451.659307,0.9985
s5,cbapsba,incast_agg_gbps,6.118824,6.106716,-0.0121
s5,cbapsba,bg_retention_pct,57.085345,55.445495,-1.6399
s5,cbapsba,bg_min_gbps,0.109091,3.200000,3.0909
s5,cbapsba,queue_peak_bytes,1262840.000000,56592.000000,-1206248.0000
s5,cbapsba,ecn_marks,25062.000000,0.000000,-25062.0000
