time_ns,event,entity,role_or_zone_or_state,requested_or_target_bps,commanded_or_aggreq_bps,applied_bps,owner,queue_B_or_phase,Q_pred_B,boost_bps,drain_bps
996650000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996655000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996660000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996665000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996670000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996675000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996680000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996685000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996690000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996695000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996700000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996705000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996710000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996715000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996720000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996725000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996730000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996735000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996740000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996745000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996750000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996755000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996760000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996765000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996770000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996775000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996780000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996785000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996790000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996795000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996800000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996805000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996810000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996815000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996820000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996825000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996830000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996835000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996840000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996845000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996850000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996855000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996860000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996865000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996870000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996875000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996880000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996885000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996890000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996895000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996900000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996905000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996910000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996915000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996920000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996925000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996930000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996935000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996940000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996945000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996950000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996955000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996960000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996965000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996970000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996975000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996980000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996985000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996990000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996995000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997000000,epoch,link0,GREEN,0,0,0,,0,0,0,0
