metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
A.cfg.MIN_RATE,identity,CBAP,S3,W0,config,value,100Mb/s,text,,,,ckpt4_cbap_s3.txt,MIN_RATE,,MEASURED,AVAILABLE,
A.cfg.MIN_RATE,identity,DCQCN,S3,W0,config,value,100Mb/s,text,,,,ckpt4_dcqcn_s3.txt,MIN_RATE,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_MAX_BOOST_RATIO,identity,CBAP,S3,W0,config,value,0.30,text,,,,ckpt4_cbap_s3.txt,CBAP_QC_MAX_BOOST_RATIO,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_MAX_BOOST_RATIO,identity,DCQCN,S3,W0,config,value,0.30,text,,,,ckpt4_dcqcn_s3.txt,CBAP_QC_MAX_BOOST_RATIO,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_H_GUARD_US,identity,CBAP,S3,W0,config,value,175,text,,,,ckpt4_cbap_s3.txt,CBAP_QC_H_GUARD_US,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_H_GUARD_US,identity,DCQCN,S3,W0,config,value,175,text,,,,ckpt4_dcqcn_s3.txt,CBAP_QC_H_GUARD_US,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_APP_HARD_DELAY_US,identity,CBAP,S3,W0,config,value,838.86,text,,,,ckpt4_cbap_s3.txt,CBAP_QC_APP_HARD_DELAY_US,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_APP_HARD_DELAY_US,identity,DCQCN,S3,W0,config,value,838.86,text,,,,ckpt4_dcqcn_s3.txt,CBAP_QC_APP_HARD_DELAY_US,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_SAFETY_MARGIN_BYTES,identity,CBAP,S3,W0,config,value,67072,text,,,,ckpt4_cbap_s3.txt,CBAP_QC_SAFETY_MARGIN_BYTES,,MEASURED,AVAILABLE,
A.cfg.CBAP_QC_SAFETY_MARGIN_BYTES,identity,DCQCN,S3,W0,config,value,67072,text,,,,ckpt4_dcqcn_s3.txt,CBAP_QC_SAFETY_MARGIN_BYTES,,MEASURED,AVAILABLE,
A.cfg.PACKET_PAYLOAD_SIZE,identity,CBAP,S3,W0,config,value,1000,text,,,,ckpt4_cbap_s3.txt,PACKET_PAYLOAD_SIZE,,MEASURED,AVAILABLE,
A.cfg.PACKET_PAYLOAD_SIZE,identity,DCQCN,S3,W0,config,value,1000,text,,,,ckpt4_dcqcn_s3.txt,PACKET_PAYLOAD_SIZE,,MEASURED,AVAILABLE,
A.cfg.CBAP_MAX_WIRE_PACKET_BYTES,identity,CBAP,S3,W0,config,value,1064,text,,,,ckpt4_cbap_s3.txt,CBAP_MAX_WIRE_PACKET_BYTES,,MEASURED,AVAILABLE,
A.cfg.CBAP_MAX_WIRE_PACKET_BYTES,identity,DCQCN,S3,W0,config,value,1064,text,,,,ckpt4_dcqcn_s3.txt,CBAP_MAX_WIRE_PACKET_BYTES,,MEASURED,AVAILABLE,
A.parsed.realloc,identity,CBAP,S3,W0,runtime,echo,CBAP_REALLOC_PARSED migration_enable=1 core_initial_release=1 initial_release_ratio=0.9 migration_trace=1,text,,,,run.log,CBAP_REALLOC_PARSED,,MEASURED,AVAILABLE,"parsed values echoed by the simulator, not config text"
A.parsed.realloc,identity,DCQCN,S3,W0,runtime,echo,ABSENT,text,,,,run.log,CBAP_REALLOC_PARSED,,MEASURED,AVAILABLE,"parsed values echoed by the simulator, not config text"
A.wall,identity,CBAP,S3,W0,run,wall_seconds,966.475,s,,,,run.log,last line,,MEASURED,AVAILABLE,
A.wall,identity,DCQCN,S3,W0,run,wall_seconds,1030.37,s,,,,run.log,last line,,MEASURED,AVAILABLE,
A.pg.dist,identity,BOTH,S3,W0,traffic,distribution,pg3=65,count,,,,s3_flow.txt,col3,,MEASURED,AVAILABLE,
A.const.C_link,identity,BOTH,S3,W0,constant,value,10000000000.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.payload_packet_bytes,identity,BOTH,S3,W0,constant,value,1000.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.wire_packet_bytes,identity,BOTH,S3,W0,constant,value,1048.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.Q_abs,identity,BOTH,S3,W0,constant,value,1048575.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.Q_red,identity,BOTH,S3,W0,constant,value,981503.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.Q_low,identity,BOTH,S3,W0,constant,value,524287.5,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.M_safe,identity,BOTH,S3,W0,constant,value,67072.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
